id,uuid,tenant_id,organization_id,external_id,package_no,package_group_id,plan_id,plan_version_id,sku_id,name,description,price_amount,original_price_amount,currency_code,point_amount,duration_days,recurrence_cycle,sort_weight,recommended,status,starts_at,ends_at,tags,version,deleted_at,created_at,updated_at
package-standard-single,,100001,0,402,standard-single,package-group-single,plan-standard,plan-standard-v1,sku-standard-single,标准版 - 单月购买,一次性购买，不自动续费,158,,CNY,1580,30,once,2,0,active,,,[],0,,2026-07-13 13:03:39.427285+08,2026-07-14 11:35:44.908707+08
package-premium-single,,100001,0,403,premium-single,package-group-single,plan-premium,plan-premium-v1,sku-premium-single,巅峰版 - 单月购买,一次性购买，不自动续费,433,,CNY,4330,30,once,3,0,active,,,[],0,,2026-07-13 13:03:39.427285+08,2026-07-14 11:35:44.914511+08
package-super-annual,,100001,0,104,super-annual,package-group-annual,plan-super,plan-super-v1,sku-super-annual,超级版 - 连续包年,连续包年订阅，到期自动续费,12606,12996,CNY,126060,365,year,4,0,active,,,[],0,,2026-07-14 11:35:44.516289+08,2026-07-14 11:35:44.921728+08
package-super-monthly,,100001,0,204,super-monthly,package-group-monthly,plan-super,plan-super-v1,sku-super-monthly,超级版 - 连续包月,连续包月订阅，到期自动续费,1072,1083,CNY,10720,30,month,4,0,active,,,[],0,,2026-07-14 11:35:44.516289+08,2026-07-14 11:35:44.926222+08
package-super-quarterly,,100001,0,304,super-quarterly,package-group-quarterly,plan-super,plan-super-v1,sku-super-quarterly,超级版 - 连续包季,连续包季订阅，到期自动续费,3184,3249,CNY,31840,90,quarter,4,0,active,,,[],0,,2026-07-14 11:35:44.516289+08,2026-07-14 11:35:44.933052+08
package-basic-annual,,100001,0,101,basic-annual,package-group-annual,plan-basic,plan-basic-v1,sku-basic-annual,基础版 - 连续包年,连续包年订阅，到期自动续费,640,660,CNY,6400,365,year,1,0,active,,,[],0,,2026-07-13 13:03:39.427285+08,2026-07-14 11:35:44.853748+08
package-standard-annual,,100001,0,102,standard-annual,package-group-annual,plan-standard,plan-standard-v1,sku-standard-annual,标准版 - 连续包年,连续包年订阅，到期自动续费,1839,1896,CNY,18390,365,year,2,1,active,,,[],0,,2026-07-13 13:03:39.427285+08,2026-07-14 11:35:44.857238+08
package-premium-annual,,100001,0,103,premium-annual,package-group-annual,plan-premium,plan-premium-v1,sku-premium-annual,巅峰版 - 连续包年,连续包年订阅，到期自动续费,5040,5196,CNY,50400,365,year,3,0,active,,,[],0,,2026-07-13 13:03:39.427285+08,2026-07-14 11:35:44.861454+08
package-basic-monthly,,100001,0,201,basic-monthly,package-group-monthly,plan-basic,plan-basic-v1,sku-basic-monthly,基础版 - 连续包月,连续包月订阅，到期自动续费,54,55,CNY,540,30,month,1,0,active,,,[],0,,2026-07-13 13:03:39.427285+08,2026-07-14 11:35:44.865377+08
package-standard-monthly,,100001,0,202,standard-monthly,package-group-monthly,plan-standard,plan-standard-v1,sku-standard-monthly,标准版 - 连续包月,连续包月订阅，到期自动续费,156,158,CNY,1560,30,month,2,1,active,,,[],0,,2026-07-13 13:03:39.427285+08,2026-07-14 11:35:44.869066+08
package-premium-monthly,,100001,0,203,premium-monthly,package-group-monthly,plan-premium,plan-premium-v1,sku-premium-monthly,巅峰版 - 连续包月,连续包月订阅，到期自动续费,429,433,CNY,4290,30,month,3,0,active,,,[],0,,2026-07-13 13:03:39.427285+08,2026-07-14 11:35:44.872793+08
package-basic-quarterly,,100001,0,301,basic-quarterly,package-group-quarterly,plan-basic,plan-basic-v1,sku-basic-quarterly,基础版 - 连续包季,连续包季订阅，到期自动续费,162,165,CNY,1620,90,quarter,1,0,active,,,[],0,,2026-07-13 13:03:39.427285+08,2026-07-14 11:35:44.890128+08
package-standard-quarterly,,100001,0,302,standard-quarterly,package-group-quarterly,plan-standard,plan-standard-v1,sku-standard-quarterly,标准版 - 连续包季,连续包季订阅，到期自动续费,465,474,CNY,4650,90,quarter,2,0,active,,,[],0,,2026-07-13 13:03:39.427285+08,2026-07-14 11:35:44.894528+08
package-premium-quarterly,,100001,0,303,premium-quarterly,package-group-quarterly,plan-premium,plan-premium-v1,sku-premium-quarterly,巅峰版 - 连续包季,连续包季订阅，到期自动续费,1273,1299,CNY,12730,90,quarter,3,0,active,,,[],0,,2026-07-13 13:03:39.427285+08,2026-07-14 11:35:44.898581+08
package-basic-single,,100001,0,401,basic-single,package-group-single,plan-basic,plan-basic-v1,sku-basic-single,基础版 - 单月购买,一次性购买，不自动续费,55,,CNY,550,30,once,1,0,active,,,[],0,,2026-07-13 13:03:39.427285+08,2026-07-14 11:35:44.90437+08
package-super-single,,100001,0,404,super-single,package-group-single,plan-super,plan-super-v1,sku-super-single,超级版 - 单月购买,一次性购买，不自动续费,1083,,CNY,10830,30,once,4,0,active,,,[],0,,2026-07-14 11:35:44.516289+08,2026-07-14 11:35:44.936961+08
