id,tenant_id,organization_id,plan_id,plan_version_id,benefit_id,benefit_code,grant_quantity,grant_period,reset_policy,usage_policy,sort_weight,status,created_at,updated_at
plan-standard-v1-benefit-video-lip-sync,100001,0,plan-standard,plan-standard-v1,benefit-video-lip-sync,video_lip_sync,1,membership_period,,included,7,active,2026-07-13 13:03:39.385073+08,2026-07-14 11:35:44.491921+08
plan-standard-v1-benefit-video-frame-interp,100001,0,plan-standard,plan-standard-v1,benefit-video-frame-interp,video_frame_interp,1,membership_period,,included,9,active,2026-07-13 13:03:39.385073+08,2026-07-14 11:35:44.491921+08
plan-standard-v1-benefit-image-4k,100001,0,plan-standard,plan-standard-v1,benefit-image-4k-free,image_4k_free,2K,membership_period,,included,10,active,2026-07-13 13:03:39.385073+08,2026-07-14 11:35:44.491921+08
plan-standard-v1-benefit-smart-upscale,100001,0,plan-standard,plan-standard-v1,benefit-smart-upscale,smart_upscale,4K,membership_period,,included,11,active,2026-07-13 13:03:39.385073+08,2026-07-14 11:35:44.491921+08
plan-standard-v1-benefit-no-watermark,100001,0,plan-standard,plan-standard-v1,benefit-no-watermark,no_watermark,1,membership_period,,included,12,active,2026-07-13 13:03:39.385073+08,2026-07-14 11:35:44.491921+08
plan-premium-v1-benefit-purchased-points,100001,0,plan-premium,plan-premium-v1,benefit-purchased-points,purchased_points,1,membership_period,,included,2,active,2026-07-13 13:03:39.3923+08,2026-07-14 11:35:44.491921+08
plan-premium-v1-benefit-daily-points,100001,0,plan-premium,plan-premium-v1,benefit-daily-points,daily_points,4290,membership_period,,included,3,active,2026-07-13 13:03:39.3923+08,2026-07-14 11:35:44.491921+08
plan-super-v1-benefit-purchased-points,100001,0,plan-super,plan-super-v1,benefit-purchased-points,purchased_points,1,membership_period,,included,2,active,2026-07-14 11:35:44.491921+08,2026-07-14 11:35:44.491921+08
plan-super-v1-benefit-daily-points,100001,0,plan-super,plan-super-v1,benefit-daily-points,daily_points,10720,membership_period,,included,3,active,2026-07-14 11:35:44.491921+08,2026-07-14 11:35:44.491921+08
plan-super-v1-benefit-seedance-vip,100001,0,plan-super,plan-super-v1,benefit-seedance-vip-model,seedance_vip_model,1,membership_period,,included,4,active,2026-07-14 11:35:44.491921+08,2026-07-14 11:35:44.491921+08
